year,areakm,state,region
2006,"61,74",Rio de Janeiro,mata_atlantica
2005,"61,74",Rio de Janeiro,mata_atlantica
2003,"33,52",Rio de Janeiro,mata_atlantica
2001,"33,52",Rio de Janeiro,mata_atlantica
2002,"33,52",Rio de Janeiro,mata_atlantica
2004,"33,52",Rio de Janeiro,mata_atlantica
2007,"25,90",Rio de Janeiro,mata_atlantica
2008,"25,90",Rio de Janeiro,mata_atlantica
2010,"29,29",Rio de Janeiro,mata_atlantica
2009,"29,29",Rio de Janeiro,mata_atlantica
2014,"19,86",Rio de Janeiro,mata_atlantica
2011,"14,73",Rio de Janeiro,mata_atlantica
2013,"29,50",Rio de Janeiro,mata_atlantica
2012,"29,50",Rio de Janeiro,mata_atlantica
2018,"14,13",Rio de Janeiro,mata_atlantica
2015,"12,25",Rio de Janeiro,mata_atlantica
2016,"12,25",Rio de Janeiro,mata_atlantica
2017,"19,83",Rio de Janeiro,mata_atlantica
2019,"7,54",Rio de Janeiro,mata_atlantica
2021,"7,67",Rio de Janeiro,mata_atlantica
2020,"9,23",Rio de Janeiro,mata_atlantica
2001,"2,866.00",Rio Grande do Sul,pampa
2004,"2,866.00",Rio Grande do Sul,pampa
2003,"2,866.00",Rio Grande do Sul,pampa
2002,"2,866.00",Rio Grande do Sul,pampa
2014,"2,118.72",Rio Grande do Sul,pampa
2006,"2,004.36",Rio Grande do Sul,pampa
2005,"2,004.36",Rio Grande do Sul,pampa
2011,"1,699.81",Rio Grande do Sul,pampa
2021,"1,526.57",Rio Grande do Sul,pampa
2007,"1,449.72",Rio Grande do Sul,pampa
2008,"1,449.72",Rio Grande do Sul,pampa
2013,"1,125.97",Rio Grande do Sul,pampa
2012,"1,125.97",Rio Grande do Sul,pampa
2010,"1,027.92",Rio Grande do Sul,pampa
2009,"1,027.92",Rio Grande do Sul,pampa
2019,"1,027.40",Rio Grande do Sul,pampa
2017,925.88,Rio Grande do Sul,pampa
2015,924.38,Rio Grande do Sul,pampa
2016,924.38,Rio Grande do Sul,pampa
2018,917.77,Rio Grande do Sul,pampa
2020,888.62,Rio Grande do Sul,pampa
